,theta,theta_past_ma10
257,4.118713649282109,2.3004125622607554
258,4.666935579856609,2.6402903685237407
259,2.063254275318748,3.0376700345534573
260,1.5487085834145025,3.17653087630238
261,1.4161771569618815,3.2644308683084198
262,1.3620624804155563,3.3402902338796814
263,1.3264919788594292,3.143180246171482
264,1.2479209921720436,2.818158603173642
265,1.2360377647329543,2.5640170046398425
266,1.4766650792755431,2.307617115879337
267,2.4812896853639326,2.046296754028938
268,2.5560841979002586,1.88255435763712
269,2.608465293854875,1.6714692194414849
270,2.5325865581381057,1.7259903212950973
271,2.646078843256177,1.824378118767458
272,2.5225518824487896,1.9473682873968876
273,2.3379413778665277,2.063417227600211
274,3.780332688801055,2.164562167500921
275,3.2483976144044626,2.417803337163822
276,3.0535142745676023,2.6190393221309725
277,2.566704119011086,2.7767242416601787
278,2.5983142117821694,2.785265685024894
279,2.386349061621282,2.789488686413085
280,2.6670243512562863,2.767277063189726
281,2.581194700970748,2.7807208425015437
282,3.5233808640502056,2.774232428273001
283,3.0499831756081424,2.8743153264331425
284,3.048277897233576,2.9455195062073036
285,2.7989550514504105,2.872314027050556
286,3.4368146217639395,2.8273697707551504
287,3.47144301262549,2.8656998054747844
288,1.9452746836538493,2.956173694836225
289,0.8566452141269262,2.8908697420233933
290,0.8804783753429581,2.7378993572739576
291,0.828267651732349,2.5592447596826244
292,0.8142272363119715,2.3839520547587845
293,0.790239588339533,2.1130366919849615
294,0.7880041938253386,1.8870623332581
295,0.8169889228257999,1.6610349629172767
296,3.118713871539464,1.4628383500548154
297,3.4319667723918954,1.431028275032368
298,4.200116516694216,1.4270806510090086
299,4.713585566595421,1.6525648343130452
300,5.229152315807018,2.0382588695598947
301,5.454364875013153,2.473126263606301
302,4.793788972019965,2.935735985934381
303,4.342698291245155,3.3336921595051807
304,1.1221634044873008,3.688938029795743
305,1.1529933666552006,3.722353950861939
306,1.159846016027731,3.755954395244879
307,1.117002096031501,3.560067609693705
308,1.0882423397545926,3.3285711420576662
309,1.1057586413078624,3.0173837243637034
